epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3169,1.99664,3.65053,1.19821,0.76334,0.31311,0.61654,0.27863,1.71299,3.36079,1.11532,0.000660714,0.000660714,0.000660714
2,51.1388,1.89832,1.9988,1.16619,0.83947,0.81996,0.8453,0.40249,1.70197,1.75279,1.14805,0.00132608,0.00132608,0.00132608
3,75.8328,1.85418,1.43801,1.14372,0.8474,0.90215,0.89581,0.42885,1.69443,1.22418,1.13267,0.00198626,0.00198626,0.00198626
4,100.936,1.82112,1.2191,1.12972,0.84158,0.85519,0.89218,0.42697,1.68354,1.25379,1.12248,0.00198246,0.00198246,0.00198246
5,125.948,1.78257,1.10042,1.12005,0.83882,0.90802,0.89397,0.38774,1.84309,1.0415,1.19189,0.0019689,0.0019689,0.0019689
6,150.987,1.7919,1.03281,1.12808,0.86042,0.93738,0.89459,0.39981,1.68799,0.98842,1.11508,0.00195155,0.00195155,0.00195155
7,176.072,1.78696,1.01895,1.10341,0.85829,0.94325,0.93495,0.46247,1.66931,0.89812,1.12623,0.00193048,0.00193048,0.00193048
8,201.254,1.72308,0.98401,1.10156,0.88796,0.88407,0.91022,0.43254,1.70192,1.02018,1.1313,0.00190578,0.00190578,0.00190578
9,226.453,1.70878,0.94087,1.08803,0.90279,0.8454,0.92582,0.45528,1.67851,0.9284,1.10385,0.00187754,0.00187754,0.00187754
10,252.004,1.74846,0.94471,1.09018,0.8871,0.95331,0.93411,0.41843,1.75296,0.8798,1.12173,0.00184588,0.00184588,0.00184588
11,277.242,1.71622,0.92074,1.07794,0.91536,0.95695,0.95837,0.45741,1.69943,0.85678,1.113,0.00181093,0.00181093,0.00181093
12,302.37,1.68123,0.89958,1.08152,0.89787,0.94628,0.94439,0.45171,1.67359,0.85805,1.08582,0.00177281,0.00177281,0.00177281
1,47.732,2.78957,3.12856,1.79444,0.17741,0.85127,0.17152,0.07148,2.41541,2.3922,1.60944,0.00066369,0.00066369,0.00066369
2,94.2937,2.66906,0.92864,1.71179,0.48309,0.76997,0.48607,0.203,2.41509,0.96235,1.59452,0.00132906,0.00132906,0.00132906
3,140.543,2.64599,0.86583,1.67497,0.00615,0.85323,0.00584,0.00263,2.55763,366.31,3.41346,0.00198923,0.00198923,0.00198923
4,186.979,2.60017,0.81294,1.67609,0.73473,0.84557,0.79876,0.33881,2.39249,0.71383,1.56237,0.00198246,0.00198246,0.00198246
5,233.792,2.55194,0.82262,1.64194,0.77256,0.83757,0.83578,0.34423,2.54731,0.6558,1.6343,0.0019689,0.0019689,0.0019689
6,280.655,2.49714,0.77753,1.62295,0.72494,0.8304,0.80592,0.37274,2.31957,0.70507,1.5178,0.00195155,0.00195155,0.00195155
7,333.798,2.49125,0.7844,1.63379,0.80614,0.90802,0.87809,0.38517,2.38045,0.60464,1.56097,0.00193048,0.00193048,0.00193048
8,389.115,2.43186,0.71661,1.59193,0.78971,0.85323,0.81666,0.35257,2.30464,0.64355,1.49117,0.00190578,0.00190578,0.00190578
9,442.242,2.41772,0.70539,1.59629,0.83289,0.87084,0.86743,0.386,2.44469,0.55804,1.56009,0.00187754,0.00187754,0.00187754
